NDVI,NDRE,Label
0.20412596,0.09720504,1
0.204617,0.114292644,1
0.19736843,0.094104044,1
0.18933824,0.13833296,1
0.24917878,0.18839286,1
0.35406947,0.17923251,1
0.40227395,0.26588467,0
0.36094013,0.2364006,1
0.36293238,0.2074091,1
0.32131824,0.193766,1
0.30552658,0.19181342,1
0.2948295,0.16189536,1
0.2433372,0.17492472,1
0.2671395,0.17447275,1
0.39302173,0.19514261,1
0.42339575,0.23857868,0
0.35698447,0.18834952,1
0.35799658,0.23980254,1
0.28418803,0.19780767,1
0.2539776,0.13857678,1
0.24934725,0.1884508,1
0.45441595,0.21801372,0
0.5265344,0.26791874,0
0.67114097,0.35188326,0
0.6764514,0.38060704,0
0.4630169,0.3708049,0
0.27098015,0.1418705,1
0.20752183,0.09334144,1
0.20852765,0.1860085,1
0.22004062,0.18280275,1
0.25825825,0.25355273,1
0.47988775,0.2263566,0
0.5233601,0.30424243,0
0.4412159,0.30367973,0
0.44627056,0.28539327,0
0.39388794,0.2650231,1
0.36556405,0.24903026,1
0.32889813,0.24551831,1
0.36327186,0.23636363,1
0.403895,0.22451994,0
0.3717728,0.18822214,1
0.3641347,0.23066054,1
0.33963752,0.2225818,1
0.42558327,0.2422012,0
0.42037734,0.2538308,0
0.41352406,0.3199757,0
0.36710617,0.29349968,1
0.42234915,0.29856583,0
0.37683284,0.2672065,1
0.37256292,0.28127068,1
0.3890909,0.25947908,1
0.3995002,0.27148882,1
0.3873874,0.2384782,1
0.4030303,0.20142718,0
0.4060606,0.22787416,0
0.3384127,0.23238818,1
0.30933332,0.22215308,1
0.33474877,0.20280612,1
0.39804363,0.23046358,1
0.35155657,0.21006118,1
0.33277592,0.17855823,1
0.3523077,0.22551411,1
0.34007782,0.2122492,1
0.32790887,0.18647765,1
0.31771818,0.1657754,1
0.34474152,0.2035737,1
0.33788395,0.21174653,1
0.33788863,0.21125889,1
0.34295532,0.20061444,1
0.3202171,0.1986449,1
0.32142857,0.17460318,1
0.3008963,0.18277067,1
0.2741021,0.20500596,1
0.25930765,0.18209687,1
0.2610217,0.14412698,1
0.4148265,0.1419478,0
0.62478775,0.10317003,0
0.4850367,0.2565695,0
0.3043005,0.18525848,1
0.24875346,0.15560113,1
0.3275862,0.22060767,1
0.36705738,0.2007586,1
0.3691843,0.2375751,1
0.375076,0.2367414,1
0.39580765,0.24088791,1
0.36829415,0.24213406,1
0.29274294,0.19330117,1
0.30327362,0.19512886,1
0.3146603,0.2197954,1
0.30375847,0.19988659,1
0.38951433,0.28494942,1
0.43192813,0.26573,0
0.44657534,0.30249768,0
0.42618743,0.32538027,0
0.43727162,0.32658798,0
0.42857143,0.21648136,0
0.43687943,0.30289388,0
0.356306,0.28964612,1
0.4252354,0.2936752,0
0.44730678,0.28437826,0
0.4984756,0.36149585,0
0.5405999,0.39101717,0
0.5713825,0.3377229,0
0.46121967,0.34312925,0
0.35948554,0.20972818,1
0.33028722,0.19216146,1
0.4367347,0.21309592,0
0.50931674,0.27894738,0
0.3478025,0.2173487,1
0.25240386,0.132301,1
0.30025774,0.18046212,1
0.31225297,0.17418215,1
0.27985075,0.20774648,1
0.4025641,0.23685698,0
0.50817436,0.2936021,0
0.43301758,0.2732191,0
0.37655172,0.24322641,1
0.38941833,0.27005106,1
0.39081183,0.26321808,1
0.4276885,0.28368992,0
0.4631922,0.2596747,0
0.42892924,0.26707384,0
0.41851524,0.2637681,0
0.40166205,0.28851542,0
0.36610758,0.36887857,1
0.4242977,0.28378823,0
0.5123485,0.27575758,0
0.5221675,0.31957296,0
0.56319785,0.32425275,0
0.4578005,0.3138686,0
0.5344147,0.30988023,0
0.5392238,0.33811918,0
0.43801653,0.36336926,0
0.4440678,0.27211645,0
0.5887265,0.2752409,0
0.5888372,0.3276331,0
0.7428161,0.4671908,0
0.6608951,0.48524687,0
0.54921114,0.36692077,0
0.51417005,0.32389382,0
0.507109,0.26946107,0
0.5579976,0.27091634,0
0.3754741,0.15652405,1
0.2671421,0.18552732,1
0.25838926,0.15384616,1
0.2833237,0.14816727,1
0.31445783,0.18942492,1
0.3817967,0.22248366,1
0.41696113,0.31152904,0
0.5705522,0.36066818,0
0.7973475,0.5865137,0
0.82851017,0.5888242,0
0.8435155,0.65743196,0
0.87164015,0.65510553,0
0.87303585,0.6253068,0
0.8578199,0.5752705,0
0.8490566,0.6136114,0
0.8413083,0.62393165,0
0.81408066,0.58305997,0
0.7686341,0.57904243,0
0.7224607,0.53326964,0
0.74358976,0.5712197,0
0.817878,0.6035372,0
0.8278867,0.61229885,0
0.8029115,0.5846457,0
0.83183503,0.60817087,0
0.8472433,0.6491307,0
